행정구역별(1),행정구역별(2),1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
행정구역별(1),행정구역별(2),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡)
강원도,평창군,97,7,37,2,45,2,37,2,47,2,72,4,86,4,81,5,73,4,58,3,55,3,79,4
강원도,정선군,20,1,16,1,28,1,18,1,18,1,21,1,27,1,15,1,23,1,23,1,56,3,18,1
강원도,철원군,2,0,9,1,12,1,9,0,24,1,7,1,18,1,8,1,12,1,14,1,25,2,12,1
강원도,화천군,1,0,1,0,2,0,2,0,1,0,5,0,2,0,4,0,6,0,8,1,4,0,5,0
강원도,양구군,6,0,3,0,5,0,7,1,4,0,2,0,24,2,23,2,7,1,8,1,4,0,10,1
강원도,인제군,28,2,45,3,32,2,21,2,27,2,15,1,19,1,28,2,28,2,20,2,21,2,15,1
강원도,고성군,29,2,30,2,46,3,33,2,50,3,64,4,84,6,49,4,53,4,62,4,58,4,63,4
강원도,양양군,27,2,30,2,45,3,55,4,58,4,60,4,68,5,52,3,70,5,62,4,62,4,70,5
충청북도,소계,3695,277,3932,291,3063,219,2716,195,6598,516,5848,423,2793,194,2051,143,2861,203,2383,163,3277,228,4429,305
충청북도,청주시,2808,215,2682,207,1842,138,1833,138,5410,438,3967,301,1562,112,1100,80,1682,122,1327,93,1964,143,2792,201
충청북도,청주시 상당구,872,68,946,76,563,41,533,43,2805,232,1024,82,465,35,352,27,803,62,326,24,374,29,527,39
충청북도,청주시 서원구,529,39,358,26,318,23,370,26,755,57,870,64,410,28,252,18,234,16,308,21,471,33,761,51
충청북도,청주시 흥덕구,985,76,953,72,610,46,571,43,1166,96,1228,96,460,33,321,22,453,29,434,30,827,61,985,72
충청북도,청주시 청원구,422,32,425,32,351,27,359,26,684,53,845,59,227,16,175,13,192,14,259,18,292,21,519,39
충청북도,충주시,387,27,411,27,335,22,311,19,535,34,602,40,522,34,268,17,319,21,408,25,747,47,957,58
충청북도,제천시,129,8,341,23,396,26,178,11,185,12,240,16,217,15,223,15,248,17,211,14,181,12,184,12
충청북도,보은군,9,1,18,1,26,2,19,1,24,2,18,1,36,3,22,2,39,3,36,3,19,1,19,1
충청북도,옥천군,34,2,69,5,86,6,44,3,36,2,38,3,38,2,42,3,28,2,39,2,40,3,69,4
충청북도,영동군,8,1,38,2,11,1,18,1,11,1,12,1,16,1,17,1,17,1,14,1,16,1,29,2
충청북도,증평군,143,11,104,7,100,7,130,9,129,9,612,38,62,4,135,10,290,21,108,8,49,3,57,4
충청북도,진천군,83,6,129,9,114,8,74,5,119,9,123,9,124,9,79,5,98,7,79,6,84,6,128,9
충청북도,괴산군,4,0,6,0,4,0,6,0,8,1,8,1,7,0,5,0,2,0,9,1,6,0,3,0
충청북도,음성군,77,5,113,8,140,9,92,6,129,9,209,14,192,13,146,10,127,8,144,10,157,10,177,12
충청북도,단양군,13,1,21,1,9,0,11,1,12,1,19,1,17,1,14,1,11,1,8,0,14,1,14,1
충청남도,소계,4165,313,4390,319,4570,339,4063,287,4009,296,6480,472,6748,477,5394,379,6571,501,6694,505,6377,469,9698,728
충청남도,천안시,2123,162,2200,159,1818,132,1807,128,1865,136,2695,198,3044,205,1995,139,2851,216,2843,217,3236,239,3363,249
충청남도,천안시 동남구,700,53,732,56,646,48,844,61,576,42,905,66,1146,61,532,35,748,55,1396,108,1322,98,1176,86
충청남도,천안시 서북구,1423,108,1468,103,1172,84,963,67,1289,95,1790,132,1898,144,1463,104,2103,161,1447,108,1914,141,2187,162
충청남도,공주시,96,6,145,10,118,8,98,6,121,9,142,9,210,15,231,16,295,21,525,42,186,13,310,21
충청남도,보령시,128,9,175,13,117,8,116,8,105,8,136,10,133,10,134,10,120,9,105,7,123,9,111,8
충청남도,아산시,885,65,732,53,887,67,886,62,763,56,1021,75,1074,80,784,54,672,47,935,63,968,70,1838,126
충청남도,서산시,246,19,285,21,275,21,242,18,319,24,336,25,622,47,574,44,972,80,620,51,299,23,467,35
충청남도,논산시,107,8,100,7,114,8,80,6,98,7,112,8,154,11,126,9,118,8,100,7,105,7,135,9
충청남도,계룡시,86,8,79,7,92,8,65,5,130,11,1025,74,124,9,976,65,127,7,133,8,88,6,138,11
충청남도,당진시,214,16,291,22,293,22,251,19,251,19,533,41,968,71,217,16,1039,86,237,17,283,21,2445,207
충청남도,금산군,29,2,30,2,501,40,217,13,48,3,44,3,59,3,26,1,28,2,34,2,40,2,52,3
충청남도,부여군,22,1,35,2,27,2,26,2,21,1,30,2,42,3,44,3,89,6,32,2,41,3,37,3
충청남도,서천군,20,2,34,3,19,1,52,4,34,3,98,5,36,3,29,2,39,3,36,2,35,3,25,2
충청남도,청양군,3,0,11,1,3,0,9,1,18,1,20,1,11,1,6,0,5,0,29,2,8,1,9,1
충청남도,홍성군,125,9,147,11,163,13,122,9,130,9,146,11,144,11,156,12,136,10,138,10,141,11,123,9
충청남도,예산군,51,4,66,5,92,7,50,4,53,4,72,5,70,5,47,3,50,3,879,72,757,58,270,20
충청남도,태안군,30,2,60,4,51,3,42,3,53,3,70,4,57,3,49,3,30,2,48,3,67,4,375,24
전라북도,소계,4152,319,3897,298,3120,230,2506,186,3623,252,4023,300,4634,345,3327,259,3155,245,3738,284,4873,367,6851,500
전라북도,전주시,2531,199,2354,184,1628,127,1234,95,1374,107,2250,176,2244,180,1440,112,1549,126,1608,126,2225,174,2683,200
전라북도,전주시  완산구,1714,131,1537,119,860,67,655,50,710,55,1251,96,1236,91,689,52,663,51,661,49,1082,82,1492,108
전라북도,전주시 덕진구,817,68,817,66,768,61,579,45,664,52,999,80,1008,89,751,60,886,74,947,78,1143,92,1191,92
전라북도,군산시,480,37,415,32,455,34,362,27,858,62,785,57,1303,91,478,34,450,33,597,45,718,53,1001,72
전라북도,익산시,401,28,498,35,501,34,420,29,499,33,498,34,552,37,725,57,722,56,472,33,467,32,645,43
전라북도,정읍시,439,34,185,14,149,10,108,8,545,27,130,9,134,9,414,38,138,11,130,9,132,9,152,11
전라북도,남원시,45,3,95,7,54,4,54,4,49,3,62,4,71,5,61,4,66,5,49,3,63,4,456,39
전라북도,김제시,60,4,48,3,101,5,75,5,73,4,80,5,85,6,48,3,55,4,42,3,84,6,76,5
전라북도,완주군,97,7,117,8,92,7,83,6,91,6,95,7,117,8,85,6,92,6,765,59,1092,82,1680,118
전라북도,진안군,5,0,3,0,3,0,8,0,5,0,0,0,7,0,4,0,2,0,2,0,3,0,1,0
전라북도,무주군,17,1,7,0,16,1,6,0,7,0,10,1,7,0,2,0,6,0,7,0,6,0,46,4
전라북도,장수군,3,0,4,0,4,0,2,0,2,0,1,0,7,0,3,0,1,0,3,0,3,0,4,0
전라북도,임실군,6,0,8,1,14,1,6,0,14,1,7,0,3,0,6,0,11,1,6,0,3,0,8,1
전라북도,순창군,10,1,17,1,3,0,5,0,3,0,8,1,15,1,8,1,4,0,5,0,9,1,13,1
전라북도,고창군,23,2,29,2,31,2,19,1,23,2,26,2,25,2,17,1,21,1,28,2,18,1,22,2
전라북도,부안군,35,2,117,10,69,4,124,9,80,6,71,5,64,4,36,2,38,3,24,2,50,3,64,5
전라남도,소계,2361,173,4265,326,3180,236,4154,308,4787,376,4266,328,5982,445,2986,221,4176,298,4381,329,3628,266,5000,392
전라남도,목포시,322,24,651,49,516,38,329,25,356,26,507,39,1037,80,489,37,1116,83,462,35,545,42,533,42
전라남도,여수시,640,47,1475,116,862,65,399,27,528,37,1032,84,801,61,488,35,873,50,706,42,611,44,674,51
전라남도,순천시,533,41,856,69,647,49,1908,144,2652,221,1112,85,1104,79,632,46,547,41,2007,166,866,64,1499,127
전라남도,나주시,113,8,116,8,98,6,107,7,101,7,177,13,287,22,207,16,210,16,195,15,348,27,459,36
전라남도,광양시,325,21,663,46,564,39,528,38,415,28,407,26,1478,113,561,41,727,54,409,28,538,37,1019,75
전라남도,담양군,14,1,9,1,5,0,6,0,49,3,17,1,19,2,16,1,32,3,34,3,58,5,41,3
